Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Image, medium, body: A new approach to iconology","Belting, H",,,,CRITICAL INQUIRY,WIN 2005,2005,31,2,,,,302,319,,10.1086/430962,,,43,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,3,6,6,5,4,11,2
Feminism's apocalyptic futures,"Wiegman, R",,,,NEW LITERARY HISTORY,FAL 2000,2000,31,4,,,,805,825,,,,,43,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,3,2,2,3,5,4,4,9,1,1
"THE LAW OF PEOPLES + INTERNATIONAL-LAW, JUSTICE, AND POLITICAL LIBERALISM","RAWLS, J",,,,CRITICAL INQUIRY,FAL 1993,1993,20,1,,,,36,68,,10.1086/448700,,,43,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,1,2,1,1,1,0,1,1,1,3,4,2,3,2,5,4,0
MEMORY AND COUNTER-MEMORY - INTRODUCTION,"DAVIS, NZ; STARN, R",,,,REPRESENTATIONS,SPR 1989,1989,,26,,,,1,6,,,,,43,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,4,4,2,3,2,1,4,4,2,0,2,3,5,1,0
Note taking as an art of transmission,"Blair, A",,,,CRITICAL INQUIRY,FAL 2004,2004,31,1,,,,85,107,,10.1086/427303,,,42,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,2,3,6,3,3,8,2,3,2
The Sokal Affair and the history of criticism,"Guillory, J",,,,CRITICAL INQUIRY,WIN 2002,2002,28,2,,,,470,508,,10.1086/449049,,,42,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,5,2,4,4,3,6,3,4,3,1,2,1
"IN DEFENSE OF THE FRAGMENT, WRITING ABOUT HINDU-MUSLIM RIOTS IN INDIA TODAY","PANDEY, G",,,,REPRESENTATIONS,WIN 1992,1992,,37,,,,27,55,,,,,42,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,4,0,1,2,1,1,5,1,1,3,1,3,4,4,1,4,0
SEX AND THE EMERGENCE OF SEXUALITY,"DAVIDSON, AI",,,,CRITICAL INQUIRY,FAL 1987,1987,14,1,,,,16,48,,10.1086/448426,,,42,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,2,4,3,0,2,0,1,2,1,0,1,4,1,3,0,2,1,0,2,2,1,3,0
SPATIAL FORM IN LITERATURE - TOWARD A GENERAL-THEORY,"MITCHELL, WJT",,,,CRITICAL INQUIRY,1980,1980,6,3,,,,539,567,,10.1086/448064,,,42,1.14,0,0,0,0,0,0,0,0,4,1,1,1,2,4,2,2,1,0,3,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,2,1,3,5,0,1,2,0
The history of theory,"Hunter, Ian",,,,CRITICAL INQUIRY,FAL 2006,2006,33,1,,,,78,112,,10.1086/509747,,,41,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,4,6,5,5,3,0
"Benjamin and cinema: Not a one-way street (Walter Benjamin, aesthetics)","Hansen, MB",,,,CRITICAL INQUIRY,WIN 1999,1999,25,2,,,,306,343,,10.1086/448922,,,41,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,4,3,1,0,1,0,1,8,4,3,2,2,4,0
FASHION AND THE HOMOSPECTATORIAL LOOK,"FUSS, D",,,,CRITICAL INQUIRY,SUM 1992,1992,18,4,,,,713,737,,10.1086/448653,,,41,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,3,0,1,2,5,1,2,2,2,1,2,0,0,3,2,2,0,2,0
"RECIPES FOR READING - SUMMER PASTA, LOBSTER-A-LA-RISEHOLME, AND KEY LIME PIE","LEONARDI, SJ",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAY 1989,1989,104,3,,,,340,347,,10.2307/462443,,,41,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,1,0,2,0,0,1,2,1,0,1,0,1,4,3,2,3,4,5,2,1
THE PROBLEM OF IDEOLOGY IN AMERICAN LITERARY-HISTORY,"BERCOVITCH, S",,,,CRITICAL INQUIRY,SUM 1986,1986,12,4,,,,631,653,,10.1086/448358,,,41,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,3,3,2,3,1,2,0,1,0,1,1,2,0,2,4,0,0,1,2,1,1,0,1,0,0,0,0,0
THE POWER OF WOMENS HAIR IN THE VICTORIAN IMAGINATION,"GITTER, EG",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1984,1984,99,5,,,,936,954,,10.2307/462145,,,41,1.24,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,1,0,0,0,0,0,1,3,1,0,1,2,0,1,1,1,3,2,1,0,0,4,1,2,2,0,3,1
"AT THE MARGIN OF DISCOURSE + 'TRISTRAM SHANDY', 'TOM JONES', 'FINNEGANS WAKE' - FOOTNOTES IN THE FICTIONAL TEXT","BENSTOCK, S",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1983,1983,98,2,,,,204,225,,10.2307/462046,,,41,1.21,0,0,0,0,0,0,0,0,0,0,4,3,1,2,1,3,1,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,1,0,2,3,4,4,3,1,0
'MENINAS' AND THE PARADOXES OF PICTORIAL REPRESENTATION,"SEARLE, JR",,,,CRITICAL INQUIRY,1980,1980,6,3,,,,477,488,,10.1086/448060,,,41,1.11,0,0,0,0,0,0,0,1,1,2,3,0,2,4,0,1,2,2,2,1,1,2,0,2,1,1,0,1,0,0,1,0,0,0,1,4,0,2,1,2,1,0,0,0
DRAMATIC MONOLOGUE AND RELATED LYRIC FORMS,"RADER, RW",,,,CRITICAL INQUIRY,1976,1976,3,1,,,,131,151,,10.1086/447877,,,41,1,0,0,0,0,1,2,2,1,0,2,1,2,0,1,0,0,2,3,1,1,1,1,1,0,1,0,1,2,1,1,0,0,0,0,2,2,1,3,0,1,0,4,0,0
From Walter Benjamin to Carl Schmitt via Thomas Hobbes,"Bredekamp, H; Hause, MT; Bond, J",,,,CRITICAL INQUIRY,WIN 1999,1999,25,2,,,,247,266,,10.1086/448919,,,40,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,3,1,2,4,6,2,4,3,5,1,2,0
"Reinventing the medium (Walter Benjamin, aesthetics)","Krauss, RE",,,,CRITICAL INQUIRY,WIN 1999,1999,25,2,,,,289,305,,10.1086/448921,,,40,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,2,4,4,4,7,7,2,3,0
THE POLITICS OF HISTORICAL INTERPRETATION - DISCIPLINE AND DESUBLIMATION,"WHITE, H",,,,CRITICAL INQUIRY,1982,1982,9,1,,,,113,131,,10.1086/448191,,,40,1.14,0,0,0,0,0,0,0,0,0,1,1,3,2,2,4,2,3,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,3,2,4,2,1,0
THE LOGIC OF NARRATIVE POSSIBILITIES,"BREMOND, C",,,,NEW LITERARY HISTORY,1980,1980,11,3,,,,387,411,,10.2307/468934,,,40,1.08,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,1,0,2,1,0,0,1,0,0,2,0,0,0,2,0,1,0,0,0,0,3,4,3,4,1,4,2,1,0
Literature for the planet,"Dimock, WC",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 2001,2001,116,1,,,,173,188,,,,,39,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,0,2,2,3,4,4,2,5,4,3,1,0
Beyond discipline? Globalization and the future of English,"Jay, P",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 2001,2001,116,1,,,,32,47,,,,,39,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5,4,1,1,4,2,2,5,4,2,0,1,1
"EXCLUDED SPACES, THE FIGURE IN THE AUSTRALIAN ABORIGINAL LANDSCAPE","MUNN, ND",,,,CRITICAL INQUIRY,SPR 1996,1996,22,3,,,,446,465,,10.1086/448801,,,39,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,0,0,0,1,2,4,5,2,3,2,5,5,3,0
WRITING GONE WILDE - HOMOEROTIC DESIRE IN THE CLOSET OF REPRESENTATION,"COHEN, E",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,OCT 1987,1987,102,5,,,,801,813,,10.2307/462309,,,39,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,4,4,3,1,1,2,1,0,1,0,0,1,0,1,0,1,1,2,0,1,4,1,1,0,0
"BODIES, DEATH, AND PAUPER FUNERALS","LAQUEUR, T",,,,REPRESENTATIONS,1983,1983,1,1,,,,109,131,,10.1525/rep.1983.1.1.99p0385r,,,39,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,2,2,1,0,1,0,3,1,2,1,3,1,1,0,1,1,1,4,2,3,1,2,0
PARDONER HOMOSEXUALITY AND HOW IT MATTERS,"MCALPINE, ME",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1980,1980,95,1,,,,8,22,,10.2307/461730,,,39,1.05,0,0,0,0,0,0,0,0,1,3,1,0,0,2,2,1,0,2,0,2,0,1,0,1,0,0,0,1,2,0,2,0,0,2,2,5,3,2,1,1,0,1,1,0
Religious Reason and Secular Affect: An Incommensurable Divide?,"Mahmood, Saba",,,,CRITICAL INQUIRY,SUM 2009,2009,35,4,,,,836,862,,,Conference on Fate of Disciplines 2006,"MAY, 2006",38,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,6,7,11,0
What ails feminist criticism,"Gubar, S",,,,CRITICAL INQUIRY,SUM 1998,1998,24,4,,,,878,902,,10.1086/448900,,,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,2,3,1,1,2,1,0,2,3,3,4,1,3,0,0
ACTING BITS IDENTITY TALK,"SPIVAK, GC",,,,CRITICAL INQUIRY,SUM 1992,1992,18,4,,,,770,803,,10.1086/448656,,,38,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,3,1,2,0,1,0,4,1,4,4,2,0,0,4,1,0,2,0
"THE TIME OF THE GYPSIES, A PEOPLE WITHOUT HISTORY IN THE NARRATIVES OF THE WEST","TRUMPENER, K",,,,CRITICAL INQUIRY,SUM 1992,1992,18,4,,,,843,884,,10.1086/448659,,,38,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,2,2,1,0,4,5,0,5,5,1,2,3,3,0
THE NAZI MYTH,"LACOUELABARTHE, P; NANCY, JL",,,,CRITICAL INQUIRY,WIN 1990,1990,16,2,,,,291,312,,10.1086/448535,,,38,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,2,1,1,0,2,0,0,1,1,1,2,2,5,1,4,2,3,3,0,0
ON MAGIC REALISM IN FILM,"JAMESON, F",,,,CRITICAL INQUIRY,WIN 1986,1986,12,2,,,,301,325,,10.1086/448333,,,38,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,2,2,1,1,0,0,1,2,2,3,1,3,0,0,3,4,5,0,0
"THE OUTER WORD AND INNER SPEECH + BAKHTIN, VYGOTSKY, AND THE INTERNALIZATION OF LANGUAGE","EMERSON, C",,,,CRITICAL INQUIRY,1983,1983,10,2,,,,245,264,,10.1086/448245,,,38,1.12,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,0,1,1,3,1,1,1,1,0,0,1,0,1,0,1,1,0,2,0,0,0,3,4,4,0,3,1,0
Genesis of the Media Concept,"Guillory, John",,,,CRITICAL INQUIRY,WIN 2010,2010,36,2,,,,321,362,,,,,37,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,8,7,10,0
"Human, All Too Human: Animal Studies and the Humanities","Wolfe, Cary",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAR 2009,2009,124,2,,,,564,575,,,,,37,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,7,7,8,0
The Star System in literary studies,"Shumway, DR",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 1997,1997,112,1,,,,85,100,,10.2307/463056,,,37,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,5,2,2,1,2,1,2,1,1,0,1,2,1,1,0,3
THE EARLY-MODERN CLOSET DISCOVERED + CLOSETS AND SECRECY IN 16TH-CENTURY LITERATURE AND LIFE,"STEWART, A",,,,REPRESENTATIONS,SPR 1995,1995,,50,,,,76,100,,,,,37,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,3,3,4,0,0,6,4,3,3,1,2,1
"THE WALL, THE SCREEN AND THE IMAGE - THE VIETNAM-VETERANS-MEMORIAL","STURKEN, M",,,,REPRESENTATIONS,SUM 1991,1991,,35,,,,118,142,,,,,37,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,2,2,3,1,4,2,0,4,0,3,2,2,6,0
Why constructing a people is the main task of radical politics,"Laclau, Ernesto",,,,CRITICAL INQUIRY,SUM 2006,2006,32,4,,,,646,680,,10.1086/508086,,,36,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,4,4,9,3,1
The changing profession - The rise of periodical studies,"Latham, Sean; Scholes, Robert",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAR 2006,2006,121,2,,,,517,531,,10.1632/003081206X129693,,,36,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,3,4,5,3,5,8,0
Removing knowledge (Library of Congress),"Galison, P",,,,CRITICAL INQUIRY,FAL 2004,2004,31,1,,,,229,243,,10.1086/427309,,,36,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,5,5,6,6,5,2,1
A Leftist plea for Eurocentrism (International politics),"Zizek, S",,,,CRITICAL INQUIRY,SUM 1998,1998,24,4,,,,988,1009,,10.1086/448904,,,36,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,2,2,3,1,3,0,2,0,3,3,2,4,3,0
Editor's introduction: Minority maneuvers and unsettled negotiations,"Bhabha, H",,,,CRITICAL INQUIRY,SPR 1997,1997,23,3,,,,431,459,,10.1086/448837,,,36,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,1,1,1,2,0,2,5,2,2,2,1,2,3,1,0
"REMEMBERING TO FORGET - MEMORY, HISTORY, NATIONAL IDENTITY IN POSTWAR EAST-CENTRAL-EUROPE","ESBENSHADE, RS",,,,REPRESENTATIONS,WIN 1995,1995,,49,,,,72,96,,,,,36,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,1,1,0,2,2,4,5,3,1,6,4,1,0
"GIVING BODY TO THE WORD - THE MATERNAL SYMBOLIC IN MORRISON,TONI 'BELOVED'","WYATT, J",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAY 1993,1993,108,3,,,,474,488,,10.2307/462616,,,36,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,1,3,1,3,0,2,0,0,3,1,0,2,0,0,3,1,5,3,0,0
THE BLACK CANON - RECONSTRUCTING BLACK-AMERICAN LITERARY-CRITICISM,"JOYCE, JA",,,,NEW LITERARY HISTORY,WIN 1987,1987,18,2,,,,335,344,,10.2307/468732,,,36,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,2,5,3,2,1,1,1,1,1,2,0,0,1,1,0,0,2,2,1,0,0,1,3,0,0
INTELLIGIBILITY AND MEANINGFULNESS IN MULTICULTURAL LITERATURE IN ENGLISH,"DASENBROCK, RW",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 1987,1987,102,1,,,,10,19,,10.2307/462488,,,36,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,2,6,0,4,1,2,0,0,2,0,0,1,1,2,1,1,1,0,1,2,1,0,0,0
PHOTOGRAPHY AND REPRESENTATION,"SCRUTON, R",,,,CRITICAL INQUIRY,1981,1981,7,3,,,,577,603,,10.1086/448116,,,36,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,3,0,1,0,11,0,3,3,1
HELPLESS AND UNFRIENDED - 19TH-CENTURY DOMESTIC MELODRAMA,"VICINUS, M",,,,NEW LITERARY HISTORY,1981,1981,13,1,,,,127,143,,10.2307/468646,,,36,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,2,1,0,2,1,1,0,1,1,0,2,1,0,0,3,0,2,2,1,4,2,1,2,1
MELVILLE QUARREL WITH FICTION,"BAYM, N",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1979,1979,94,5,,,,909,923,,10.2307/461973,,,36,0.95,0,0,0,0,0,0,0,0,2,1,2,2,0,1,2,2,1,1,0,1,1,2,1,0,1,0,1,1,3,0,1,0,0,1,1,0,0,1,4,2,1,0,0,0
HERMENEUTICS AND THE ROLE OF HISTORY,"SKINNER, Q",,,,NEW LITERARY HISTORY,1975,1975,7,1,,,,209,232,,10.2307/468286,,,36,0.86,0,0,0,0,1,2,0,1,3,4,0,3,1,0,0,0,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,1,0,3,2,2,0
Science Studies and the History of Science,"Daston, Lorraine",,,,CRITICAL INQUIRY,SUM 2009,2009,35,4,,,,798,813,,,Conference on Fate of Disciplines 2006,"MAY, 2006",35,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,9,7,5,5,0
Narrative voice and agency in drama: Aspects of a narratology of drama,"Jahn, M",,,,NEW LITERARY HISTORY,SUM 2001,2001,32,3,,,,659,679,,10.1353/nlh.2001.0037,,,35,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,9,2,1,4,4,2,3,0
"'SCHINDLERS LIST' IS NOT SHOAH, THE 2ND-COMMANDMENT, POPULAR MODERNISM, AND PUBLIC MEMORY","HANSEN, MB",,,,CRITICAL INQUIRY,WIN 1996,1996,22,2,,,,292,312,,10.1086/448792,,,35,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,2,4,0,0,0,0,0,1,1,0,1,1,3,3,4,5,1,0
"COLONIAL LEGACIES, MULTICULTURAL FUTURES - RELATIVISM, OBJECTIVITY, AND THE CHALLENGE OF OTHERNESS","MOHANTY, SP",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 1995,1995,110,1,,,,108,118,,10.2307/463198,,,35,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,2,4,0,2,1,1,3,0,2,3,2,2,1,1,0,1,0,0
THE UNCOMPLETED ARGUMENT - DUBOIS AND THE ILLUSION OF RACE,"APPIAH, A",,,,CRITICAL INQUIRY,1985,1985,12,1,,,,21,37,,10.1086/448319,,,35,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,2,1,1,2,2,2,3,1,1,2,0,0,0,0,1,1,1,2,0,2,3,2,0
"DEBASING EXCHANGE + MARKETPLACE OF SEX - WHARTON,EDITH THE 'HOUSE OF MIRTH'","DIMOCK, W",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1985,1985,100,5,,,,783,792,,10.2307/462098,,,35,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,2,3,1,1,2,2,0,1,0,0,1,0,1,1,1,0,0,2,2,1,2,3,0,2,1,0
"MURDERING PEASANTS - STATUS, GENRE, AND THE REPRESENTATION OF REBELLION","GREENBLATT, S",,,,REPRESENTATIONS,1983,1983,1,1,,,,1,29,,10.1525/rep.1983.1.1.99p0380w,,,35,1.03,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,2,0,3,1,1,1,2,1,0,2,1,0,1,0,0,0,2,4,2,1,1,0,1,1,1,1,1,0
FREEDOM OF INTERPRETATION - BAKHTIN AND THE CHALLENGE OF FEMINIST CRITICISM,"BOOTH, WC",,,,CRITICAL INQUIRY,1982,1982,9,1,,,,45,76,,10.1086/448188,,,35,1,0,0,0,0,0,0,0,0,0,2,1,3,3,3,2,2,1,5,0,1,2,2,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
IS THERE A WOMAN IN THIS TEXT + FEMINIST CRITICISM,"JACOBUS, M",,,,NEW LITERARY HISTORY,1982,1982,14,1,,,,117,141,,10.2307/468961,,,35,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,4,1,1,3,2,1,1,1,2,1,1,0,0,0,2,0,1,0,1,1,0,2,1,1,1,0,0,0,0
READERS IN TEXTS + FICTIONAL NARRATORS,"WILSON, WD",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1981,1981,96,5,,,,848,863,,10.2307/462128,,,35,0.97,0,0,0,0,0,0,0,0,0,1,4,2,4,3,1,1,2,0,2,2,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0
HENDIADYS AND 'HAMLET' - THE USE OF THE RHETORICAL DEVICE IN HAMLET,"WRIGHT, GT",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1981,1981,96,2,,,,168,193,,10.2307/461987,,,35,0.97,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,1,2,0,4,1,1,0,0,0,0,3,1,5,0,1,4,3,0
WIFE-OF-BATH AND THE PAINTING OF LIONS,"CARRUTHERS, M",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1979,1979,94,2,,,,209,222,,10.2307/461886,,,35,0.92,0,0,0,0,0,0,0,2,0,1,2,0,1,1,2,3,2,0,1,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2,1,1,3,1,1,1,1,2,1
CRITICAL CALCULATIONS - MEASURE AND SYMMETRY IN LITERATURE,"PETERSON, RG",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1976,1976,91,3,,,,367,375,,10.2307/461687,,,35,0.85,0,0,0,0,5,3,2,2,4,2,1,1,1,1,1,0,1,1,1,1,1,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
A certain impossible possibility of saying the event,"Derrida, Jacques",,,,CRITICAL INQUIRY,WIN 2007,2007,33,2,,,,441,461,,10.1086/511506,,,34,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,7,2,6,7,3,0
Against the populist temptation,"Zizek, S",,,,CRITICAL INQUIRY,SPR 2006,2006,32,3,,,,551,574,,10.1086/505378,,,34,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,6,1,4,6,7,3,0
"Global translatio: The Invention of comparative literature, Istanbul, 1933","Apter, E",,,,CRITICAL INQUIRY,WIN 2003,2003,29,2,,,,253,281,,10.1086/374027,,,34,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,3,6,4,6,3,2,1,0
"New wine in old bottles? Voice, focalization, and new writing","Fludernik, M",,,,NEW LITERARY HISTORY,SUM 2001,2001,32,3,,,,619,638,,10.1353/nlh.2001.0033,,,34,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,2,3,1,3,4,2,3,3,2,3,0,1
Racial memory and literary history,"Greenblatt, S",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 2001,2001,116,1,,,,48,63,,,,,34,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,3,2,3,0,5,1,4,1,5,3,1,0
